"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
747,"747.2154","Pasteurella multocida USDA-ARS-USMARC-60214","sulfadimethoxine","",">256",">","256","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2144","Pasteurella multocida USDA-ARS-USMARC-60215","ceftiofur","Susceptible","<=0.25","<=","0.25","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2145","Pasteurella multocida USDA-ARS-USMARC-60224","danofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2142","Pasteurella multocida USDA-ARS-USMARC-60717","tiamulin","","==16","=","16","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2149","Pasteurella multocida USDA-ARS-USMARC-60675","tulathromycin","Resistant",">64",">","64","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2154","Pasteurella multocida USDA-ARS-USMARC-60214","danofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2150","Pasteurella multocida USDA-ARS-USMARC-60712","spectinomycin","Intermediate",">64",">","64","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2146","Pasteurella multocida USDA-ARS-USMARC-59910","ceftiofur","Susceptible","<=0.25","<=","0.25","mg/L","MIC","BOPO6F plate; cattle host; respiratory body site","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2151","Pasteurella multocida USDA-ARS-USMARC-60248","tilmicosin","","<=4","<=","4","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2146","Pasteurella multocida USDA-ARS-USMARC-59910","penicillin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","BOPO6F plate; cattle host; respiratory body site","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2147","Pasteurella multocida USDA-ARS-USMARC-60380","trimethoprim/sulfamethoxazole","","<=2/32","<=","2/32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2154","Pasteurella multocida USDA-ARS-USMARC-60214","tulathromycin","Susceptible","==4","=","4","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2151","Pasteurella multocida USDA-ARS-USMARC-60248","trimethoprim/sulfamethoxazole","","<=2/32","<=","2/32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2147","Pasteurella multocida USDA-ARS-USMARC-60380","clindamycin","",">16",">","16","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2152","Pasteurella multocida USDA-ARS-USMARC-59962","ceftiofur","Susceptible","<=0.25","<=","0.25","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2149","Pasteurella multocida USDA-ARS-USMARC-60675","neomycin","",">32",">","32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2142","Pasteurella multocida USDA-ARS-USMARC-60717","danofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2147","Pasteurella multocida USDA-ARS-USMARC-60380","spectinomycin","Susceptible","==16","=","16","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2155","Pasteurella multocida USDA-ARS-USMARC-60381","spectinomycin","Susceptible","<=8","<=","8","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2151","Pasteurella multocida USDA-ARS-USMARC-60248","ceftiofur","Susceptible","<=0.25","<=","0.25","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2151","Pasteurella multocida USDA-ARS-USMARC-60248","danofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2154","Pasteurella multocida USDA-ARS-USMARC-60214","tilmicosin","","<=4","<=","4","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
