csv,fasta_dir,total_rows,matched,unmatched,match_%,output
amr_taxon_1005424_Escherichia_coli.csv,taxon_1005424_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005424_Escherichia_coli_mapped.csv
amr_taxon_1005430_Escherichia_coli.csv,taxon_1005430_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005430_Escherichia_coli_mapped.csv
amr_taxon_1005431_Escherichia_coli.csv,taxon_1005431_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005431_Escherichia_coli_mapped.csv
amr_taxon_1005432_Escherichia_coli.csv,taxon_1005432_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005432_Escherichia_coli_mapped.csv
amr_taxon_1005433_Escherichia_coli.csv,taxon_1005433_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005433_Escherichia_coli_mapped.csv
amr_taxon_1005434_Escherichia_coli.csv,taxon_1005434_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005434_Escherichia_coli_mapped.csv
amr_taxon_1005435_Escherichia_coli.csv,taxon_1005435_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005435_Escherichia_coli_mapped.csv
amr_taxon_1005436_Escherichia_coli.csv,taxon_1005436_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005436_Escherichia_coli_mapped.csv
amr_taxon_1005437_Escherichia_coli.csv,taxon_1005437_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005437_Escherichia_coli_mapped.csv
amr_taxon_1005438_Escherichia_coli.csv,taxon_1005438_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005438_Escherichia_coli_mapped.csv
